description,amount,category,transaction_type,date
Monthly Salary,85000,Income,income,2024-09-01
Apartment Rent,15000,Housing,expense,2024-09-05
Electricity Bill,2800,Housing,expense,2024-09-10
Water Supply,500,Housing,expense,2024-09-10
Internet Bill,999,Housing,expense,2024-09-10
Grocery Shopping,3200,Food,expense,2024-09-12
Coffee at Starbucks,150,Food,expense,2024-09-15
Lunch at Restaurant,450,Food,expense,2024-09-18
Dinner at Barbeque Nation,1850,Food,expense,2024-09-24
Uber Ride to Office,180,Transportation,expense,2024-09-14
Car Fuel,2200,Transportation,expense,2024-09-20
Uber Ride Home,240,Transportation,expense,2024-09-23
Netflix Subscription,649,Entertainment,expense,2024-09-20
Movie Tickets,450,Entertainment,expense,2024-09-22
Online Gaming Purchase,299,Entertainment,expense,2024-09-25
Shopping Mall - Clothes,2500,Shopping,expense,2024-09-19
Amazon Purchase - Electronics,3400,Shopping,expense,2024-09-25
Gym Membership,1500,Health,expense,2024-09-01
Doctor Checkup,1200,Health,expense,2024-09-10
Medicine Purchase,450,Health,expense,2024-09-21
Insurance Premium,5000,Insurance,expense,2024-09-05
Phone Plan Recharge,499,Utilities,expense,2024-09-01
Gas Cylinder,350,Utilities,expense,2024-09-08
Book Purchase,380,Education,expense,2024-09-22
Online Course,2999,Education,expense,2024-09-25
Freelance Income,12000,Income,income,2024-09-15
Investment Dividend,5000,Income,income,2024-09-20
